Received_data:aa55230000045db7ea8c; usetime/send:15.000104904174805 ms
Received_data:aa55020000045db7ea8c; usetime/send:26.000261306762695 ms
Received_data:aa55230000045db7ea9b; usetime/send:14.999866485595703 ms
Received_data:aa55020000045db7ea9b; usetime/send:15.000104904174805 ms
Received_data:aa55230000045db7eaaa; usetime/send:13.000011444091797 ms
Received_data:aa55020000045db7eaab; usetime/send:13.000011444091797 ms
Received_data:aa55230000045db7eb61; usetime/send:13.99993896484375 ms
Received_data:aa55020000045db7eb61; usetime/send:13.000011444091797 ms
Received_data:aa55230000045db7ec64; usetime/send:32.99999237060547 ms
Received_data:aa55230000045db7ec64; usetime/send:33.99991989135742 ms
Received_data:aa55230000045db7ec64; usetime/send:41.0001277923584 ms
Received_data:aa55230000045db7ec64; usetime/send:46.000003814697266 ms
Received_data:aa55230000045db7ec64; usetime/send:48.00009727478027 ms
Received_data:aa55230000045db7ec64; usetime/send:52.00004577636719 ms
Received_data:aa55230000045db7ec64; usetime/send:55.00006675720215 ms
Received_data:aa55230000045db7ec64; usetime/send:62.000274658203125 ms
Received_data:aa55230000045db7ec64; usetime/send:69.0000057220459 ms
Received_data:aa55230000045db7ec64; usetime/send:72.00002670288086 ms
Received_data:aa55020000045db7ec64; usetime/send:42.00005531311035 ms
Received_data:aa55020000045db7ec64; usetime/send:46.00024223327637 ms
Received_data:aa55020000045db7ec64; usetime/send:41.0001277923584 ms
Received_data:aa55020000045db7ec64; usetime/send:44.99983787536621 ms
Received_data:aa55020000045db7ec64; usetime/send:43.99991035461426 ms
Received_data:aa55020000045db7ec64; usetime/send:46.00024223327637 ms
Received_data:aa55020000045db7ec64; usetime/send:44.00014877319336 ms
Received_data:aa55020000045db7ec64; usetime/send:40.9998893737793 ms
Received_data:aa55020000045db7ec64; usetime/send:35.99977493286133 ms
Received_data:aa55020000045db7ec64; usetime/send:37.000179290771484 ms
Received_data:aa55230000045db7ecac; usetime/send:87.99982070922852 ms
Received_data:aa55230000045db7ecac; usetime/send:89.99967575073242 ms
Received_data:aa55230000045db7ecac; usetime/send:101.99975967407227 ms
Received_data:aa55230000045db7ecac; usetime/send:101.99975967407227 ms
Received_data:aa55230000045db7ecac; usetime/send:108.99996757507324 ms
Received_data:aa55230000045db7ecac; usetime/send:110.0001335144043 ms
Received_data:aa55230000045db7ecac; usetime/send:118.00003051757812 ms
Received_data:aa55230000045db7ecac; usetime/send:118.99995803833008 ms
Received_data:aa55230000045db7ecac; usetime/send:130.00011444091797 ms
Received_data:aa55230000045db7ecac; usetime/send:133.00013542175293 ms
Received_data:aa55230000045db7ecac; usetime/send:207.99994468688965 ms
Received_data:aa55230000045db7ecac; usetime/send:220.0000286102295 ms
Received_data:aa55230000045db7ecac; usetime/send:220.0000286102295 ms
Received_data:aa55230000045db7ecac; usetime/send:227.99992561340332 ms
Received_data:aa55230000045db7ecac; usetime/send:228.00016403198242 ms
Received_data:aa55230000045db7ecac; usetime/send:234.9998950958252 ms
Received_data:aa55230000045db7ecac; usetime/send:237.0002269744873 ms
Received_data:aa55230000045db7ecac; usetime/send:259.99999046325684 ms
Received_data:aa55230000045db7ecac; usetime/send:259.99999046325684 ms
Received_data:aa55230000045db7ecac; usetime/send:269.9999809265137 ms
Received_data:aa55230000045db7ecac; usetime/send:273.00000190734863 ms
Received_data:aa55230000045db7ecac; usetime/send:278.99980545043945 ms
Received_data:aa55230000045db7ecac; usetime/send:280.99989891052246 ms
Received_data:aa55230000045db7ecac; usetime/send:286.9999408721924 ms
Received_data:aa55230000045db7ecac; usetime/send:287.99986839294434 ms
Received_data:aa55230000045db7ecac; usetime/send:295.0000762939453 ms
Received_data:aa55230000045db7ecac; usetime/send:298.0000972747803 ms
Received_data:aa55230000045db7ecac; usetime/send:301.9998073577881 ms
Received_data:aa55230000045db7ecac; usetime/send:305.9999942779541 ms
Received_data:aa55230000045db7ecac; usetime/send:309.999942779541 ms
Received_data:aa55230000045db7ecac; usetime/send:322.9999542236328 ms
Received_data:aa55230000045db7ecac; usetime/send:315.99998474121094 ms
Received_data:aa55230000045db7ecac; usetime/send:316.9999122619629 ms
Received_data:aa55230000045db7ecac; usetime/send:331.00008964538574 ms
Received_data:aa55230000045db7ecac; usetime/send:332.99994468688965 ms
Received_data:aa55230000045db7ecac; usetime/send:338.99998664855957 ms
Received_data:aa55230000045db7ecac; usetime/send:340.9998416900635 ms
Received_data:aa55230000045db7ecac; usetime/send:347.99981117248535 ms
Received_data:aa55230000045db7ecac; usetime/send:347.99981117248535 ms
Received_data:aa55230000045db7ecac; usetime/send:354.9997806549072 ms
Received_data:aa55230000045db7ecac; usetime/send:356.99987411499023 ms
Received_data:aa55230000045db7ecac; usetime/send:369.99988555908203 ms
Received_data:aa55230000045db7ecac; usetime/send:372.999906539917 ms
Received_data:aa55230000045db7ecac; usetime/send:377.99978256225586 ms
Received_data:aa55230000045db7ecac; usetime/send:377.99978256225586 ms
Received_data:aa55230000045db7ecac; usetime/send:387.00008392333984 ms
Received_data:aa55230000045db7ecac; usetime/send:384.99999046325684 ms
Received_data:aa55230000045db7ecac; usetime/send:392.99988746643066 ms
Received_data:aa55230000045db7ecac; usetime/send:392.99988746643066 ms
Received_data:aa55230000045db7ecac; usetime/send:400.00009536743164 ms
Received_data:aa55230000045db7ecac; usetime/send:401.99995040893555 ms
Received_data:aa55230000045db7ecac; usetime/send:408.9999198913574 ms
Received_data:aa55230000045db7ecac; usetime/send:409.9998474121094 ms
Received_data:aa55230000045db7ecac; usetime/send:417.00005531311035 ms
Received_data:aa55230000045db7ecac; usetime/send:417.9999828338623 ms
Received_data:aa55230000045db7ecac; usetime/send:423.0000972747803 ms
Received_data:aa55230000045db7ecac; usetime/send:424.0000247955322 ms
Received_data:aa55230000045db7ecac; usetime/send:432.999849319458 ms
Received_data:aa55230000045db7ecac; usetime/send:433.99977684020996 ms
Received_data:aa55230000045db7ecac; usetime/send:438.0002021789551 ms
Received_data:aa55230000045db7ecac; usetime/send:440.99998474121094 ms
Received_data:aa55230000045db7ecac; usetime/send:447.00002670288086 ms
Received_data:aa55230000045db7ecac; usetime/send:449.9998092651367 ms
Received_data:aa55230000045db7ecac; usetime/send:455.0001621246338 ms
Received_data:aa55230000045db7ecac; usetime/send:457.0000171661377 ms
Received_data:aa55230000045db7ecac; usetime/send:471.00019454956055 ms
Received_data:aa55230000045db7ecac; usetime/send:476.0003089904785 ms
Received_data:aa55230000045db7ecac; usetime/send:478.0001640319824 ms
Received_data:aa55230000045db7ecac; usetime/send:479.0000915527344 ms
Received_data:aa55230000045db7ecac; usetime/send:484.9998950958252 ms
Received_data:aa55230000045db7ecac; usetime/send:488.00015449523926 ms
Received_data:aa55230000045db7ecac; usetime/send:493.0002689361572 ms
Received_data:aa55230000045db7ecac; usetime/send:497.00021743774414 ms
Received_data:aa55230000045db7ecac; usetime/send:496.99997901916504 ms
Received_data:aa55230000045db7ecac; usetime/send:503.9999485015869 ms
Received_data:aa55230000045db7ecac; usetime/send:507.000207901001 ms
Received_data:aa55230000045db7ecac; usetime/send:515.0001049041748 ms
Received_data:aa55230000045db7ecac; usetime/send:516.9999599456787 ms
Received_data:aa55230000045db7ecac; usetime/send:521.9998359680176 ms
Received_data:aa55230000045db7ecac; usetime/send:527.0001888275146 ms
Received_data:aa55230000045db7ecac; usetime/send:532.0000648498535 ms
Received_data:aa55230000045db7ecac; usetime/send:536.0000133514404 ms
Received_data:aa55230000045db7ecac; usetime/send:539.9999618530273 ms
Received_data:aa55230000045db7ecac; usetime/send:542.0002937316895 ms
Received_data:aa55230000045db7ecac; usetime/send:546.0002422332764 ms
Received_data:aa55230000045db7ecac; usetime/send:547.9998588562012 ms
Received_data:aa55230000045db7ecac; usetime/send:552.0000457763672 ms
Received_data:aa55230000045db7ecac; usetime/send:553.9999008178711 ms
Received_data:aa55230000045db7ecac; usetime/send:561.0001087188721 ms
Received_data:aa55230000045db7ecac; usetime/send:569.9999332427979 ms
Received_data:aa55230000045db7ecac; usetime/send:569.9999332427979 ms
Received_data:aa55230000045db7ecac; usetime/send:577.0001411437988 ms
Received_data:aa55230000045db7ecac; usetime/send:581.0000896453857 ms
Received_data:aa55230000045db7ecac; usetime/send:582.9999446868896 ms
Received_data:aa55230000045db7ecac; usetime/send:591.0000801086426 ms
Received_data:aa55230000045db7ecac; usetime/send:589.9999141693115 ms
Received_data:aa55230000045db7ecac; usetime/send:600.0001430511475 ms
Received_data:aa55230000045db7ecac; usetime/send:601.9999980926514 ms
Received_data:aa55230000045db7ecac; usetime/send:607.0001125335693 ms
Received_data:aa55230000045db7ecac; usetime/send:608.9999675750732 ms
Received_data:aa55020000045db7ecac; usetime/send:542.0002937316895 ms
Received_data:aa55020000045db7ecac; usetime/send:551.0001182556152 ms
Received_data:aa55020000045db7ecac; usetime/send:536.9999408721924 ms
Received_data:aa55020000045db7ecac; usetime/send:541.9998168945312 ms
Received_data:aa55020000045db7ecac; usetime/send:534.9996089935303 ms
Received_data:aa55020000045db7ecac; usetime/send:530.9998989105225 ms
Received_data:aa55020000045db7ecac; usetime/send:539.9997234344482 ms
Received_data:aa55020000045db7ecac; usetime/send:519.9999809265137 ms
Received_data:aa55020000045db7ecac; usetime/send:539.9999618530273 ms
Received_data:aa55020000045db7ecac; usetime/send:439.9998188018799 ms
Received_data:aa55020000045db7ecac; usetime/send:532.9999923706055 ms
Received_data:aa55020000045db7ecac; usetime/send:437.999963760376 ms
Received_data:aa55020000045db7ecac; usetime/send:461.0002040863037 ms
Received_data:aa55020000045db7ecac; usetime/send:434.999942779541 ms
Received_data:aa55020000045db7ecac; usetime/send:453.99975776672363 ms
Received_data:aa55020000045db7ecac; usetime/send:414.0000343322754 ms
Received_data:aa55020000045db7ecac; usetime/send:453.0000686645508 ms
Received_data:aa55020000045db7ecac; usetime/send:417.9999828338623 ms
Received_data:aa55020000045db7ecac; usetime/send:458.9996337890625 ms
Received_data:aa55020000045db7ecac; usetime/send:412.99986839294434 ms
Received_data:aa55020000045db7ecac; usetime/send:439.00012969970703 ms
Received_data:aa55020000045db7ecac; usetime/send:411.00025177001953 ms
Received_data:aa55020000045db7ecac; usetime/send:436.00010871887207 ms
Received_data:aa55020000045db7ecac; usetime/send:407.0000648498535 ms
Received_data:aa55020000045db7ecac; usetime/send:431.99992179870605 ms
Received_data:aa55020000045db7ecac; usetime/send:404.9999713897705 ms
Received_data:aa55020000045db7ecac; usetime/send:429.0001392364502 ms
Received_data:aa55020000045db7ecac; usetime/send:388.99993896484375 ms
Received_data:aa55020000045db7ecac; usetime/send:426.00011825561523 ms
Received_data:aa55020000045db7ecac; usetime/send:394.9999809265137 ms
Received_data:aa55020000045db7ecac; usetime/send:395.9999084472656 ms
Received_data:aa55020000045db7ecac; usetime/send:428.9999008178711 ms
Received_data:aa55020000045db7ecac; usetime/send:394.0002918243408 ms
Received_data:aa55020000045db7ecac; usetime/send:411.9999408721924 ms
Received_data:aa55020000045db7ecac; usetime/send:390.99979400634766 ms
Received_data:aa55020000045db7ecac; usetime/send:415.9998893737793 ms
Received_data:aa55020000045db7ecac; usetime/send:389.00017738342285 ms
Received_data:aa55020000045db7ecac; usetime/send:415.9998893737793 ms
Received_data:aa55020000045db7ecac; usetime/send:379.99987602233887 ms
Received_data:aa55020000045db7ecac; usetime/send:413.00010681152344 ms
Received_data:aa55020000045db7ecac; usetime/send:377.000093460083 ms
Received_data:aa55020000045db7ecac; usetime/send:411.9999408721924 ms
